,country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Albania,,,,,,,,,,,,9129.550000000001,10071.58,8873.69,9036.51,9618.01,10362.33,10746.12,11746.300000000001,10048.320000000002,13374.5,11502.070000000002,11246.210000000001,11630.0,11862.6,10664.710000000001,11211.320000000002,10722.86,10792.640000000001,10420.480000000001,9455.19,6663.990000000001,4861.34,4791.56,5128.83,4849.71,5210.240000000001,4477.55,4966.01,6698.88,6745.400000000001,6943.110000000001,7675.8,7536.240000000001,8315.45,8373.6,8222.41,7908.400000000001,8268.93,8513.16,8478.27,8896.95,8001.4400000000005,9315.630000000001,9397.04,
1,Algeria,,,,,,,,,,,,2709.79,3058.69,3570.4100000000003,3733.2300000000005,3861.1600000000003,4291.47,4663.63,5582.400000000001,6861.700000000001,6780.290000000001,7152.450000000001,9024.880000000001,9455.19,9083.03,9199.33,10094.84,9687.79,9943.650000000001,9594.75,10013.43,10339.070000000002,10339.070000000002,10141.36,9583.12,9804.09,9327.26,9408.67,9594.75,10094.84,10118.1,10001.800000000001,10560.04,11083.390000000001,11071.76,11374.140000000001,11978.900000000001,12560.400000000001,12444.1,13374.5,12909.300000000001,13258.2,14304.900000000001,14537.500000000002,15467.900000000001,
2,Angola,,,,,,,,,,,,7408.31,7710.6900000000005,7396.68,7257.120000000001,6826.81,6501.17,6198.79,6594.21,6466.280000000001,6361.610000000001,6187.160000000001,5884.780000000001,5838.26,5687.070000000001,5826.63,5687.070000000001,5628.92,5652.18,5582.400000000001,5780.110000000001,5721.96,5570.77,5582.400000000001,5477.7300000000005,5303.280000000001,5280.02,5221.870000000001,5047.42,5128.83,5105.570000000001,5152.09,5210.240000000001,5442.84,5407.950000000001,5047.42,5338.17,5489.360000000001,5721.96,5989.450000000001,6059.2300000000005,6070.860000000001,6419.76,6210.42,6338.35,
3,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375.4,,,,,,,,,,,,,,19538.4,19538.4,20119.9,20236.2,,,,,,,,
4,Argentina,,,,,,,,,,,,16165.7,16165.7,16514.600000000002,16630.9,16165.7,16514.600000000002,16630.9,16747.2,17445.0,17445.0,16747.2,16630.9,16630.9,16979.800000000003,15933.1,16630.9,17212.4,17561.300000000003,16863.5,16398.300000000003,16747.2,17328.7,17096.100000000002,18026.5,18026.5,18491.7,18840.600000000002,19305.800000000003,19422.100000000002,19422.100000000002,18259.100000000002,17561.300000000003,18608.0,20119.9,20003.600000000002,21515.5,21631.800000000003,22562.2,21748.100000000002,22445.9,22678.5,22562.2,22911.100000000002,23608.9,
5,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25353.4,26981.600000000002,13956.000000000002,7582.76,4884.6,5942.93,6536.06,6908.22,7094.3,6908.22,7629.280000000001,7640.910000000001,7187.34,7629.280000000001,8117.740000000001,9804.09,10059.95,11315.990000000002,11978.900000000001,10513.52,10036.69,10978.720000000001,11978.900000000001,11630.0,11862.6,
6,Australia,35587.8,36285.600000000006,36867.100000000006,38146.4,38960.5,40239.8,41286.5,42914.700000000004,43728.8,44077.700000000004,47217.8,46403.700000000004,46985.200000000004,49543.8,49892.700000000004,50590.5,51288.3,54312.100000000006,53846.9,54428.4,55126.200000000004,54544.700000000004,56056.600000000006,53032.8,54079.5,53498.0,53730.600000000006,55475.100000000006,54661.00000000001,58150.00000000001,58847.8,57335.9,57684.8,59894.50000000001,59196.700000000004,59661.9,62685.700000000004,63616.100000000006,64546.50000000001,65244.3,65593.20000000001,63383.50000000001,64779.100000000006,64779.100000000006,65128.00000000001,64662.8,66407.3,68268.1,69314.8,68151.8,67337.70000000001,66872.5,64895.4,63616.100000000006,61987.9,5480.0
7,Austria,18026.5,18026.5,19538.4,21166.600000000002,21631.800000000003,21515.5,22097.0,22329.600000000002,23841.5,25353.4,28144.600000000002,29191.300000000003,30586.9,32912.9,31749.9,30819.500000000004,33378.100000000006,32564.000000000004,33610.700000000004,36518.200000000004,35704.100000000006,33727.0,32912.9,33029.200000000004,34308.5,35471.5,35587.8,36867.100000000006,37216.0,36518.200000000004,37681.200000000004,39774.600000000006,37797.5,37913.8,37564.9,39193.100000000006,41635.4,41286.5,41984.3,41751.700000000004,41519.100000000006,43728.8,43845.100000000006,46171.100000000006,46636.3,47566.700000000004,47450.4,46752.600000000006,46868.9,44194.0,47101.5,45589.600000000006,45240.700000000004,45589.600000000006,43728.8,3800.0
8,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36867.100000000006,35936.700000000004,28609.800000000003,25353.4,22678.5,21050.300000000003,17561.300000000003,16747.2,17328.7,15933.1,16282.000000000002,16398.300000000003,16398.300000000003,17212.4,17910.2,18608.0,18142.800000000003,16398.300000000003,17677.600000000002,15467.900000000001,14886.400000000001,15933.1,17096.100000000002,17096.100000000002,17445.0,
9,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29307.600000000002,,,,,,,,,,,,,,24190.4,24888.2,24771.9,24423.0,,,,,,,,
10,Bahrain,,,,,,,,,,,,74315.70000000001,69431.1,98855.0,104786.3,93040.0,111415.40000000001,95249.70000000001,91179.20000000001,102460.3,90597.70000000001,96529.0,105484.1,98855.0,102692.90000000001,115369.6,119789.00000000001,110717.6,122115.00000000001,118626.00000000001,123278.00000000001,117463.00000000001,125604.00000000001,129093.00000000001,134908.0,132582.0,129093.00000000001,141886.0,144212.0,138397.0,139560.0,136071.0,133745.0,134908.0,126767.00000000001,136071.0,134908.0,130256.00000000001,131419.0,119789.00000000001,118626.00000000001,115253.3,112345.8,120952.00000000001,123278.00000000001,
11,Bangladesh,,,,,,,,,,,,1009.484,1024.603,1092.0570000000002,1110.665,1116.48,1161.8370000000002,1159.5110000000002,1163.0,1186.26,1232.78,1221.15,1256.0400000000002,1256.0400000000002,1232.78,1279.3000000000002,1325.8200000000002,1279.3000000000002,1360.71,1395.6000000000001,1430.49,1383.97,1430.49,1477.01,1511.9,1604.94,1581.68,1616.5700000000002,1651.46,1639.8300000000002,1663.0900000000001,1791.0200000000002,1791.0200000000002,1860.8000000000002,1860.8000000000002,1907.3200000000002,2011.9900000000002,2081.77,2163.1800000000003,2244.59,2407.4100000000003,2465.56,2558.6000000000004,2581.86,2663.27,
12,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14304.900000000001,,,,,,,,,,,,,,15816.800000000001,16398.300000000003,16630.9,16747.2,,,,,,,,
13,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51986.100000000006,50590.5,42100.600000000006,35820.4,30470.600000000002,28260.9,29075.000000000004,29191.300000000003,28726.100000000002,28028.300000000003,28609.800000000003,28958.7,29656.500000000004,30703.2,31982.500000000004,32215.100000000002,34541.100000000006,33959.600000000006,34075.9,32447.7,33727.0,36053.0,37448.600000000006,33494.4,34075.9,
14,Belgium,29307.600000000002,29889.100000000002,32680.300000000003,35355.200000000004,35122.600000000006,36285.600000000006,35471.5,36983.4,41751.700000000004,45124.4,48148.200000000004,47683.0,51986.100000000006,54893.600000000006,53730.600000000006,50241.600000000006,53730.600000000006,53381.700000000004,56172.9,57917.4,55126.200000000004,51404.600000000006,48962.3,48380.8,50357.9,51986.100000000006,53846.9,55009.9,55475.100000000006,55824.00000000001,55940.3,58266.3,58615.200000000004,56987.00000000001,60359.700000000004,61290.100000000006,64430.200000000004,64197.600000000006,65128.00000000001,65244.3,65942.1,65476.9,62685.700000000004,65011.700000000004,65011.700000000004,64662.8,63616.100000000006,62104.200000000004,63383.50000000001,60476.00000000001,64430.200000000004,59196.700000000004,56405.50000000001,58150.00000000001,54777.3,4690.0
15,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6582.580000000001,,,,,,,,,,,,,,6524.43,6594.21,6861.700000000001,6919.85,,,,,,,,
16,Benin,,,,,,,,,,,,4314.7300000000005,4419.400000000001,4419.400000000001,4407.77,4431.030000000001,4186.8,4233.320000000001,4279.84,4244.950000000001,4233.320000000001,4105.39,4140.280000000001,4128.650000000001,4117.02,4198.43,4117.02,4047.2400000000002,4035.61,3930.94,3884.42,3814.6400000000003,3768.1200000000003,3721.6000000000004,3675.0800000000004,3640.19,4105.39,4128.650000000001,3954.2000000000003,4012.3500000000004,3361.07,3465.7400000000002,3605.3,3686.71,3733.2300000000005,3640.19,4175.17,4407.77,4384.51,4465.92,4617.110000000001,4617.110000000001,4652.0,4721.780000000001,4849.71,
17,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221.15,,,,,,,,,,,,,,3279.6600000000003,3651.82,3733.2300000000005,4268.21,,,,,,,,
18,Bolivia,,,,,,,,,,,,2593.4900000000002,2802.8300000000004,2895.8700000000003,3035.4300000000003,3442.48,3686.71,3861.1600000000003,4093.76,4407.77,5093.9400000000005,5233.5,5396.320000000001,5012.530000000001,4907.860000000001,4745.04,4396.14,3989.09,4070.5000000000005,4256.58,4419.400000000001,4465.92,4628.740000000001,4849.71,5221.870000000001,5745.22,6047.6,6466.280000000001,6408.13,6175.530000000001,6780.290000000001,5175.35,6082.490000000001,6210.42,6105.75,6547.6900000000005,8047.960000000001,6443.02,6733.77,6908.22,7396.68,7687.43,8699.24,8606.2,9048.140000000001,
19,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18259.100000000002,16863.5,12211.5,10571.67,4244.950000000001,4535.700000000001,5396.320000000001,8385.230000000001,10432.11,10292.550000000001,13490.800000000001,13025.6,13607.1,13607.1,14886.400000000001,15584.2,16398.300000000003,16398.300000000003,18491.7,19305.800000000003,20352.5,22678.5,21515.5,21166.600000000002,26167.5,
